stor_name,freq (MHz),precision (MHz),pi (mus),h_pi (mus),gain (DAC units),last_update
M1-S1,348.9388628104712,,0.6545289594401781,0.3218834926696937,3000,2025-06-26 15:33:51.690099
M1-S2,520.4848573384305,,0.9760441463045924,0.4915328757626547,5000,2025-06-26 15:41:08.454031
M1-S3,696.1778417769933,,1.3075839420735191,0.6557978229423582,9000,2025-06-26 15:47:28.673733
M1-S4,874.7413310317888,,1.1209148093022874,0.5557348636838577,9000,2025-06-26 16:10:38.670459
M1-S5,1053.0740712906984,,1.0131338108492278,0.5134008480197834,7500,2025-06-26 16:15:39.150690
M1-S6,1245.0248366831909,,1.2417314199467502,0.6233688324666825,13500,2025-06-26 16:23:50.185821
M1-S7,1422.4701656554769,,2.281761693637336,1.143121374476343,10000,2025-06-26 16:28:49.792255
M1-S8,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S9,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S10,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S11,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S12,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1,2005.9198512597732,,1.091485831589416,0.5417293922995523,15000,2025-06-26 11:24:02.328507
M2,1834.95,0.01,1.054456464253018,0.5205148610361164,15000,2025-04-30 11:22:11.432806
M2-S1,175.63,0.01,2.173484394930442,1.086742197465221,1000,28:20.8
M2-S2,346.84,0.01,0.9088346637964616,0.4544173318982308,5000,33:56.1
M2-S3,523.22,0.01,1.5616152972943056,0.7808076486471528,5000,22:30.3
M2-S4,702.65,0.01,1.3867643810970816,0.6933821905485408,9000,25:33.1
M2-S5,878.78,0.01,1.303372428742593,0.6516862143712965,13500,00:05.4
M2-S6,1070.1,0.01,2.379621852651983,1.1898109263259915,9000,30:59.0
M2-S7,1249.7,0.01,1.796981380675857,0.8984906903379285,12000,56:07.5
M2-M1,173.79,0.01,0.463481103729313,0.2317405518646565,2000,2024-10-06 01:47:25.946153
M1-D1,2313.4262056014545,0.01,10.0,0.0,4000,2025-06-04 17:23:32.148629
M2-D2,2094.05,0.01,15.0,0.0,8000,2025-01-23 17:22:53.776061
M1-C,973.23,0.02,0.2511274014927775,0.1223541653088929,1000,2025-01-20 09:34:00.029234
M1_ce,2008.78,0.02,0.6179152963739796,0.3045227479057782,15000,2025-01-20 09:52:35.311227
