stor_name,freq (MHz),precision (MHz),pi (mus),h_pi (mus),gain (DAC units),last_update
M1-S1,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S2,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S3,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S4,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S5,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S6,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S7,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S8,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S9,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S10,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S11,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1-S12,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
M1,-1,-1,-1,-1,-1,2025-05-23 14:08:16.778849
