stor_name,freq (MHz),precision (MHz),pi (mus),h_pi (mus),gain (DAC units),last_update
M1-S1,352.81005569201415,,1.9501222317120395,0.9750611158560197,3370,2026-01-08 11:02:27.489327
M1-S2,524.678959916449,,1.8770554858942767,0.9385277429471384,5402,2026-01-03 16:17:41.478128
M1-S3,700.8165618182788,,1.823327093274313,0.9116635466371564,4453,2026-01-03 16:22:08.104498
M1-S4,880.7784271972836,,1.4866218287448087,0.7433109143724044,9911,2026-01-03 16:26:34.483468
M1-S5,1057.0755843041445,,1.9819606904347624,0.9909803452173812,3360,2026-01-07 17:28:25.317448
M1-S6,1248.7162791852468,,1.8745026359403705,0.9372513179701852,12734,2026-01-03 16:35:31.554816
M1-S7,1426.9286642254324,,3.7358812845565166,1.8679406422782583,8309,2026-01-03 16:39:59.886719
M1-S8,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S9,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S10,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S11,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S12,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1,1998.6287694323496,,0.5815688667724646,0.2815488153639799,8000,2026-01-04 22:30:59.630370
M2,1834.95,0.01,1.054456464253018,0.5205148610361164,15000,2025-04-30 11:22:11.432806
M2-S1,175.63,0.01,2.173484394930442,1.086742197465221,1000,28:20.8
M2-S2,346.84,0.01,0.9088346637964616,0.4544173318982308,5000,33:56.1
M2-S3,523.22,0.01,1.5616152972943056,0.7808076486471528,5000,22:30.3
M2-S4,702.65,0.01,1.3867643810970816,0.6933821905485408,9000,25:33.1
M2-S5,878.78,0.01,1.303372428742593,0.6516862143712965,13500,00:05.4
M2-S6,1070.1,0.01,2.379621852651983,1.1898109263259915,9000,30:59.0
M2-S7,1249.7,0.01,1.796981380675857,0.8984906903379285,12000,56:07.5
M2-M1,173.79,0.01,0.463481103729313,0.2317405518646565,2000,2024-10-06 01:47:25.946153
M1-D1,2373.6,0.01,10.0,0.0,4000,2025-10-28 16:37:57.400701
M2-D2,2094.05,0.01,15.0,0.0,8000,2025-01-23 17:22:53.776061
M1-C,919.0,0.02,0.2511274014927775,0.1223541653088929,1000,2025-12-08 16:40:53.078714
M1_ce,2008.78,0.02,0.6179152963739796,0.3045227479057782,15000,2025-01-20 09:52:35.311227
