stor_name,freq (MHz),precision (MHz),pi (mus),h_pi (mus),gain (DAC units),last_update
M1-S1,348.85,0.01,0.7842591523264502,0.3439469295780846,3000,2025-03-11 12:35:25.500986
M1-S2,520.32,0.05,0.9388224277507142,0.42303711460459004,5000,2025-03-27 21:05:57.941851
M1-S3,696.02,0.05,1.134706077012248,0.5270175733717766,9000,2025-03-12 11:21:11.606511
M1-S4,873.75,0.05,1.082605348558811,0.5060065463659851,9000,2025-03-27 19:04:37.148499
M1-S5,1052.65,0.05,1.7351480277837854,0.8206426224606312,7500,2025-03-12 10:41:05.165443
M1-S6,1244.52,0.05,1.372186460864359,0.6379955704971023,13500,2025-03-12 09:53:56.486329
M1-S7,1422.35,0.05,1.96498293980624,0.9278528311227434,10000,2025-03-12 09:14:13.544748
M1-S8,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S9,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S10,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S11,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S12,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1,2006.8,0.03,0.6077792185114786,0.3000127274254111,15000,2025-03-10 09:25:09.537608
M2,1834.84,0.01,1.0461708197732902,0.5217688560272709,15000,2024-11-28 12:07:48.539701
M2-S1,175.63,0.01,2.173484394930442,1.086742197465221,1000,28:20.8
M2-S2,346.84,0.01,0.9088346637964616,0.4544173318982308,5000,33:56.1
M2-S3,523.22,0.01,1.5616152972943056,0.7808076486471528,5000,22:30.3
M2-S4,702.65,0.01,1.3867643810970816,0.6933821905485408,9000,25:33.1
M2-S5,878.78,0.01,1.303372428742593,0.6516862143712965,13500,00:05.4
M2-S6,1070.1,0.01,2.379621852651983,1.1898109263259915,9000,30:59.0
M2-S7,1249.7,0.01,1.796981380675857,0.8984906903379285,12000,56:07.5
M2-M1,173.79,0.01,0.463481103729313,0.2317405518646565,2000,2024-10-06 01:47:25.946153
M1-D1,2313.44,0.01,10.0,0.0,5000,2025-01-23 14:54:56.384507
M2-D2,2094.05,0.01,15.0,0.0,8000,2025-01-23 17:22:53.776061
M1-C,973.23,0.02,0.2511274014927775,0.1223541653088929,1000,2025-01-20 09:34:00.029234
M1_ce,2008.78,0.02,0.6179152963739796,0.3045227479057782,15000,2025-01-20 09:52:35.311227
